Summary,Issue Type,Status,Priority,Description
"[PS-40] Setup Spring Boot Project",Task,Done,Medium,"Tạo project Spring Boot + React (Vite). Cấu hình pom.xml, package structure (controller, service, repository, model, config, dto)"
"[PS-41] Database Schema",Task,Done,Medium,"Thiết kế ERD, tạo Entity JPA: User, Stock, Transaction, Portfolio, Watchlist, StockPriceHistory"
"[PS-42] Configure JPA Hibernate",Task,Done,Medium,"Cấu hình ddl-auto, dialect, naming strategy, relationship mapping"
"[PS-43] Integrate Redis",Task,To Do,High,"Cài Redis, cấu hình spring-boot-starter-data-redis, tạo RedisConfig"
"[PS-8] User Registration API + UI",Task,Done,High,"AuthController.register(), RegisterPage.jsx, BCrypt password, validation"
"[PS-9] User Login API + UI",Task,Done,High,"AuthController.login(), LoginPage.jsx, JWT token, localStorage"
"[PS-10] JWT Authentication",Task,Done,High,"JwtAuthFilter, JwtUtils, SecurityConfig, axios interceptor Authorization header"
"[PS-11] User Profile API + UI",Task,Done,Medium,"UserController.getProfile/updateProfile(), ProfilePage.jsx"
"[PS-12] Change Password",Task,Done,Medium,"UserController.changePassword(), verify old password"
"[PS-14] Stock Entity",Task,Done,Medium,"Entity Stock: ticker, currentPrice, openPrice, highPrice, lowPrice, volume, change, changePercent"
"[PS-15] Stock List API + UI",Task,Done,Medium,"StockController.getAllStocks(), pagination, filter sàn HOSE/HNX, StockListPage.jsx"
"[PS-16] Stock Detail API + UI",Task,Done,Medium,"StockController.getStockDetail(ticker), StockDetailPage.jsx"
"[PS-17] Price History API + Chart",Task,Done,Medium,"StockPriceHistory entity, API getHistory, biểu đồ trong StockDetailPage"
"[PS-18] Stock Search",Task,Done,Medium,"StockController.search(keyword), SearchBar.jsx autocomplete + debounce"
"[PS-20] Buy Stock API + UI",Task,Done,High,"TradeController.buyStock(), TradeService validate + trừ balance, TradingPage.jsx"
"[PS-21] Sell Stock API + UI",Task,Done,High,"TradeController.sellStock(), validate CP đang giữ, cộng balance"
"[PS-22] Check Balance Before Trade",Task,Done,Medium,"TradeService.validateBalance(), disable nút mua nếu không đủ"
"[PS-23] Update Portfolio After Trade",Task,Done,Medium,"Tự động cập nhật portfolio, tính giá trung bình mua"
"[PS-24] Save Transaction History",Task,Done,Medium,"Transaction entity, lưu mọi giao dịch BUY/SELL"
"[PS-25] Transaction History API + UI",Task,Done,Medium,"TradeController.getHistory(), filter BUY/SELL, pagination, TransactionHistoryPage.jsx"
"[PS-26] Portfolio Entity",Task,Done,Medium,"Portfolio.java: userId, stockId, quantity, avgBuyPrice"
"[PS-27] View Portfolio API + UI",Task,Done,Medium,"TradeController.getPortfolio(), PortfolioPage.jsx"
"[PS-28] Calculate Portfolio Value",Task,Done,Medium,"getPortfolioSummary() tổng tài sản, Pie Chart phân bổ"
"[PS-29] Profit/Loss Calculation",Task,Done,Medium,"PnL = (currentPrice - avgBuyPrice) x quantity, hiển thị %"
"[SEC-1] Gửi OTP qua Email",Task,To Do,High,"OtpService sinh OTP 6 số, lưu Redis TTL 5 phút, gửi email qua JavaMailSender"
"[SEC-2] Xác thực OTP khi đăng ký",Task,To Do,High,"Sau register yêu cầu nhập OTP xác thực email trước khi kích hoạt tài khoản. UI: màn hình nhập OTP, countdown, nút gửi lại"
"[SEC-3] OTP khi đặt lệnh giao dịch",Task,To Do,Medium,"Lệnh có giá trị lớn yêu cầu OTP xác nhận. UI: modal nhập OTP trước submit"
"[SEC-4] OTP khi đổi mật khẩu",Task,To Do,High,"Gửi OTP về email, verify trước khi đổi. UI: bước 1 nhập OTP, bước 2 nhập MK mới"
"[SEC-5] Quên mật khẩu",Task,To Do,High,"AuthController.forgotPassword() gửi OTP, resetPassword() verify + đặt MK mới. UI: trang quên MK"
"[SEC-6] Xác thực 2 bước đăng nhập",Task,To Do,Medium,"Sau login thành công gửi OTP, verify mới trả token. UI: bước 2 đăng nhập nhập OTP"
"[SEC-7] Token Blacklist Logout",Task,To Do,Medium,"Lưu token đã logout vào Redis, check trong JwtAuthFilter. Frontend: xóa token + gọi API logout"
"[WAL-1] Nạp tiền (Deposit)",Task,To Do,High,"WalletController.deposit() thêm tiền vào balance, tạo WalletTransaction DEPOSIT. UI: form nạp tiền, xác nhận OTP"
"[WAL-2] Rút tiền (Withdraw)",Task,To Do,High,"WalletController.withdraw() validate balance, trừ tiền, tạo WalletTransaction WITHDRAW, yêu cầu OTP. UI: form rút tiền"
"[WAL-3] Lịch sử nạp/rút",Task,To Do,Medium,"WalletController.getHistory() pagination, filter loại/ngày. UI: trang lịch sử ví"
"[WAL-4] Số dư khả dụng vs Tổng",Task,To Do,Medium,"Tổng = balance, Khả dụng = balance - tiền lock trong lệnh PENDING. UI: hiển thị cả 2 số dư"
"[WAL-5] Giới hạn nạp/rút",Task,To Do,Low,"Validate min/max mỗi lần, giới hạn/ngày. UI: hiển thị thông báo giới hạn"
"[OMS-1] Order Model và Enums",Task,To Do,High,"Entity Order: user, stock, type BUY/SELL, orderType MARKET/LIMIT, quantity, filledQty, price, status"
"[OMS-2] Đặt lệnh (Place Order)",Task,To Do,High,"OrderService.placeOrder() validate số dư/CP, lock tiền/CP, status PENDING. UI: form đặt lệnh"
"[OMS-3] Hủy lệnh (Cancel Order)",Task,To Do,High,"OrderService.cancelOrder() chỉ hủy PENDING/PARTIAL, hoàn tiền/CP đã lock. UI: nút hủy trên sổ lệnh"
"[OMS-4] Sửa lệnh (Modify Order)",Task,To Do,Medium,"OrderService.modifyOrder() hủy lệnh cũ + tạo lệnh mới. UI: form sửa lệnh"
"[OMS-5] Sổ lệnh (Order Book)",Task,To Do,High,"OrderController.getOrderBook(ticker) lệnh BUY/SELL PENDING group theo mức giá. UI: bảng 2 cột mua/bán"
"[OMS-6] Lịch sử lệnh (My Orders)",Task,To Do,Medium,"OrderController.getMyOrders() tất cả lệnh user, filter status/ticker/ngày. UI: bảng lệnh + badge trạng thái"
"[OMS-7] Chi tiết lệnh",Task,To Do,Low,"OrderController.getOrderDetail(id) thông tin chi tiết + các match. UI: modal timeline trạng thái"
"[OMS-8] Xác nhận lệnh bằng OTP",Task,To Do,Medium,"Lệnh >= ngưỡng yêu cầu OTP trước khi lưu. UI: modal OTP trước submit"
"[ME-1] Thuật toán Price-Time Priority",Task,To Do,Highest,"MatchingEngine.matchOrders(stock) BUY giá cao nhất vs SELL giá thấp nhất, cùng giá FIFO"
"[ME-2] Xử lý MARKET Order",Task,To Do,High,"Match ngay với lệnh đối ứng giá tốt nhất. Nếu không đủ đối ứng PARTIAL hoặc REJECT"
"[ME-3] Xử lý LIMIT Order",Task,To Do,High,"Chỉ match khi giá mua >= giá bán. Lệnh chưa match chờ trong order book"
"[ME-4] Xử lý sau khớp",Task,To Do,High,"Tạo Transaction, cập nhật filledQty/status Order, cập nhật Portfolio + balance, cập nhật giá Stock"
"[ME-5] Matching Scheduler",Task,To Do,High,"@Scheduled(fixedRate=3000) khớp lệnh liên tục mỗi 3s cho tất cả CP có PENDING"
"[ME-6] Lock tài sản khi đặt lệnh",Task,To Do,High,"BUY lock tiền, SELL lock CP. Hủy hoàn lại. Thêm lockedBalance vào User, lockedQuantity vào Portfolio"
"[WS-1] WebSocket Config",Task,To Do,High,"spring-boot-starter-websocket, STOMP endpoint /ws, message broker /topic"
"[WS-2] Broadcast giá cổ phiếu",Task,To Do,High,"Sau match push /topic/stocks + /topic/stock/{ticker}. Frontend: flash xanh/đỏ khi thay đổi giá"
"[WS-3] Broadcast trạng thái lệnh",Task,To Do,Medium,"Order thay đổi status push /user/{userId}/orders. Frontend: tự cập nhật trạng thái"
"[WS-4] Broadcast order book",Task,To Do,Medium,"Sau match hoặc place/cancel push /topic/orderbook/{ticker}. Frontend: bảng giá live"
"[WS-5] Thông báo giao dịch",Task,To Do,Low,"Lệnh được khớp push notification cho user. Frontend: toast notification"
"[BOT-1] Bot User",Task,To Do,Medium,"Tạo tài khoản bot trong DataSeeder ROLE_BOT, balance lớn"
"[BOT-2] Auto Place Orders",Task,To Do,Medium,"@Scheduled đặt lệnh BUY/SELL ngẫu nhiên quanh giá hiện tại, số lượng ngẫu nhiên"
"[BOT-3] Cấu hình Bot",Task,To Do,Low,"Config bật/tắt, tần suất, biên độ giá, khối lượng min/max. Admin toggle"
"[ADM-1] Phân quyền Admin",Task,To Do,High,"@PreAuthorize hasRole ADMIN, admin login riêng. Frontend: route /admin protected"
"[ADM-2] Quản lý Users",Task,To Do,Medium,"CRUD users, khóa/mở tài khoản, xem balance, xem giao dịch. UI: bảng users, search, filter"
"[ADM-3] Quản lý Stocks",Task,To Do,Medium,"CRUD stocks, cập nhật giá thủ công, import CSV. UI: form thêm/sửa CP, upload CSV"
"[ADM-4] Dashboard thống kê",Task,To Do,Medium,"Tổng user, tổng GD, tổng KL, top CP, doanh thu. UI: dashboard cards + charts"
"[ADM-5] Quản lý lệnh",Task,To Do,Medium,"Xem tất cả lệnh toàn hệ thống, force cancel, xem order book. UI: bảng lệnh"
"[DEV-1] Redis Cache",Task,To Do,Medium,"@Cacheable stock data, TTL, @CacheEvict khi update"
"[DEV-2] Postman Collection",Task,To Do,Low,"Tạo Postman Collection cho tất cả API, test scripts, environment variables"
"[DEV-3] Dockerize",Task,To Do,Medium,"Dockerfile Spring Boot + React, docker-compose.yml app + mysql + redis"
"[DEV-4] CI/CD",Task,To Do,Medium,"GitHub Actions build, test, push Docker image, deploy"
"[DEV-5] Portfolio Performance Chart",Task,To Do,Low,"Line chart hiệu suất danh mục theo thời gian"
"[DEV-6] TradingView Widget",Task,To Do,Low,"Nâng cấp biểu đồ nến chuyên nghiệp TradingView"
